English,Russian
part,часть
history,история
search,поиск
only,только
thought,мысль
help,помощь
kind,добрый
let,позволять
because,потому что
to put,класть
leash,поводка
them,их
city,город
each,каждый
should,должен
baby,малыш
long time,много времени
hours,часы
while,пока
meet again,Встретимся снова
any,любой
square,квадрат
speak,говорить
were,были
could,мог
case,случай
give,давать
type,тип
their,их
train,тренироваться
place,место
eyes,глаза
way,способ
whose,чей
first,первый
hand,рука
first,первый
power,власть
old,старый
be,быть
morning,утро
so much,так много
child,ребенок
point,точка
came,пришел
after,после
sorry,извини
come,приходить
in front of,перед
towards,к
minutes,минуты
request,запрос
bedroom,Спальня
law,закон
today,сегодня
husband,муж
cause,причина
finally,окончательно
hope,надеяться
Wait,Ждать
left,левый
new,новый
job,работа
Stop,Останавливаться
would say,сказал бы
Earth,Земля
account,счет
far,далеко
end,конец
believe,полагать
sweetheart,дорогой
large,большой
girls,девушки
to play,играть
office,офис
